address,amount
0xe3497b16ee2efd1d954ed88ca4f3c4c97fcf71bd,5365
0x041be0b39a80388364fe223dcd2b733d5a1144c4,12899
0xe40a2a4c6dfc11f40f2bee39a3785f2c33c1d33b,820
0xb9ea10d8729018acc3a8c658d3843ccb1a907e0b,500
0x4ea2b1553faad62d5a2990de019323ccc36fcc8b,7292
0x4cba863d8350cc96313dacbe06a3f055537929c8,1000
0x575c8a992ec082f3650432de77c1cbbccf568200,450
0x8379bd16381620914d8fa3d535f6ca9ef23ece53,3354
0xc8763b39629e7043267f1e89c24381a82c5bc7ce,32479
0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,1000
0x91137bf8d5e95ce028235f38dbd7274a50d0f258,3700
0xf54fe7f5f0f8d13ce9b685b8ad167b466b637f0d,280
0x2666f0c8fb58d182f2dd79475dca4a07b3724607,743
0xcce9a28b570946123f392cf1dbfa6d2d5e636a1f,500
0xdca6f7cb3cf361c8df8fde119370f1b21b2fff63,1032
0xddf0eb653732a2e614ea29b2ec2ed3ecf96223c2,3707
0x77037050bb27ae8f09118a0c480224d897589c65,1869
0x3eefaa9d6e2ab7972c1001d41c82bb4881389257,200
0xee2c0e9ac9481d6c96812e95056c0bc6037a0ab9,200
0x838ad0eae54f99f1926da7c3b6bfbf617389b4d9,200
0x6615b02697d364362b5174b279f1cc584e4c32bb,1088
0x2e496f6001b04dbdbf6cf59dd78ea764edf4dbf2,450
0x34202f199ef058302dcced326a0105fe2db53e12,881
0x6f25a0dd4c3bd4ef1a89916b3e0162061249885a,700
0x6c9e4f9e8ca34743c3926131dff919bd9d934c9e,503
0xb464ca834796272e08dc6460940b281b046a2cee,200
0x0a559aed5ca0ca4f07e2bfea109518800a8bd12c,1388
0x9134fc7112b478e97ee6f0e6a7bf81ecafef19ed,223
0x4fe4f54474fd3b1196bf865ae59021bf8b6eb1c9,1000
0x8c8bfa1b4ba3b71838f2386aaeba8c5753963903,1729
0x24fbadccd6684106e24065694ac87b0e98819235,3420
0xec8b6b6ee8dc5c6631747bdc6b1400aff08829fd,200
0x38b2bac6431604dffec17a1e6adc649a9ea0efba,886
0xcd45cfcdf1ff55e0187114398de517ffca568249,200
0xea500fbb04c5c098dc119d2151e09f02553e1b7f,200
0xd164572b07a7a022facd4b0a63a72c9280ad78e2,600
0xcb4328df3a5a6522bf41fd4ab1e720cffc2a1f76,12180
0x657c1f8421ae93e88fb3171f019779e87b0263ca,14166
0x66e75e94eeccacb8708fa9c2fdf93750d770b0fb,5389
0xe36070cb88351b94605f8ae78ccf92627c94814e,1650
0xfd37f4625ca5816157d55a5b3f7dd8dd5f8a0c2f,500
0x1019b3cfbcd2695ba1592e5de04e18f8a675713f,888
0xd6507fc98605eab8775f851c25a5e09dc12ab7a7,1050
0x5a2774aaff1c2877797b5e6b9773579fafeefd2b,600
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,906
0xde80f39233e19bc358499457b7e78af9b2fdb37b,700
0x2865884146969481d06515e96e63c63998a2f047,200
0xaeb7aeb5c9ce73a3393daffd5e0a53246dd744a5,201
0xe7590cf4d4e17edcb0c383f53afe2484ee4a62b2,50
0x8895062e259e3fa52662403dd9e1558b017179bb,250
0x36990a4cffc50c80616d3df89f3fc6e4ad7b35b1,222
0x72774bc572ef9a2dff47c3f8cc200dc2fe3830c0,6172
0x15265c9989a97f84c01cdba9da4461ae518083fc,1952
0x387a161c6b25aa854100abaed39274e51aaffffd,200
0x76d14109dbf6866422756b6dae242224f560b0f3,3009
0x6e786fcfcb98da9df87ab0b7a2d64067c90daba9,2000
0xe895daea0bbc2939816801410e4654739738a746,29022
0x5a4afc30b7d6090dc9911aa3355979d4c96cd72e,178
0xfb12ae037c51fa0026ab54678c0111c77ce4057c,2844
0x5b23c893ab99fa6d9ff3532d10a9019cae06383e,3210
0x000cbf0bec88214aab15bc1fa40d3c30b3ca97a9,3266
0xe0235804378c31948e81441f656d826ee5998bc6,4803
0xa2746b2a56f9886925c03af1d1e10b8b3dfbbe29,8783
0x1e8e749b2b578e181ca01962e9448006772b24a2,200
0xb29050965a5ac70ab487aa47546cdcbc97dae45d,520
0x49c4688912b50fb7b775fba7fe668e785b006049,1833
0xe3ff24a97bfb65cadef30f6ad19a6ea7e6f6149d,200
0xe7e7b0f53f15d3452e6ef8698b52e967af110762,200
0x0a8e6222e974d82d09e505827fc628938fd1db70,300
0x2e004b20330dd2b6925d94070a989e045f33b953,900
0x38430336153468dcf36af5cea7d6bc472425633a,300
0xeaebb62c762f54e1477425bca262f0472cee0991,2450
0x82ca1976bd5b5a35a1bc52d09467e3b962bfb9c7,200
0x2a259f94ede30a0499f1d83ff534026f6717f4f7,277
0x1b7e467dc12e2c195d9d1f1fe02d40b58eddca8e,4934
0x1fdcf949e139db1eefdc5d7a2787af15a73c26b4,888
0x399e0ae23663f27181ebb4e66ec504b3aab25541,1160
0xaaf91d2f1978b3c2405a71a7b797db0afc14fa1c,266
0xc8aeb4c273583befce25cbc2a6d4a5c33e67d308,5256
0x6c965b656c450259a6d4d95a2e68fb4319eecbc0,1894
0xe47ed204b63adfb80c90082c088fc2a430f9a558,5822
0xf30188eb1c00aa2c6e53880d81213e740ae67ea4,1266
0x3e016a45bec67be824adc4cafc7470d82fdadafb,666
0x04acf0a2f591054c64e19cbd72070d544f56aba7,757
0x6fb5d14b61e595e6f34baf952c5d3e60e45883b0,200
0x396e76c447d51111fa56911be65687d0511198a5,932
0x221289030ed4409284be36371664d39e692ae593,4273
0x743285e167c7f84eb992af1bcbea7a8b6c579f77,1997
0x9652721d02b9db43f4311102820158abb4ecc95b,367
0x60ec4fd8069513f738f3a0f41b9e00c294e74bf3,500
0x85cb6ab4b818a4db2e2812e41f4f33a52a662ac6,5380
0xeaa68d85e2c0ea3bb0a7028c45ae04943fb14819,400
0xc9ddb5e37165827bbbff15b582e232c06862c4e8,500
0xd66c3603aaeae3d03bc521434aff992a8af6af17,200
0xab3627317c43d394eb171170f818153b976d28a3,28634
0xcff494532dc821beb40dc2ab4e7cb23fa041a046,1499
0xfa75c7172496dcf3ac4edf36f5405c1d1991c7ec,722
0xf4b7ea73a5bc5b1baa7ebca91520f0998a132877,500
0xf7256ed518fa3a8b1ddb2bbb0cd0071617df7bf4,400
0xbfbd69e77976530d33841690a94b16d8aaf0b033,200
0x1da44dc5bd3ccad7c9de272a58b5507f5bc251fa,500
0x52da39325e7b4e185fa7b041082ee11b9c823b34,333
0xae412a9b9ad78c93a0253c86e617bf193bbccacd,95550
0x1e34a0daeedd3aaaee515c92791e860591b04f0c,2200
0x91b52e9833dc4c681b5419f3e96093e85bbe8f91,1554
0x8231ff66a7bbdc14ad89782a51c939bbc4c92784,1451
0x3ac61447a75149ba67639100ecc92c76fb20941c,14458
0x3f358b4e54385ba4fc8dd9ea718d360db5c7fda5,620
0x486cf96e23ef9a7c341deece9d7c3e4f70af7454,1965
0xa2b0405506b13f180e83a66a9903a839b6cbcecd,300
0xe26067c76fdbe877f48b0a8400cf5db8b47af0fe,300
0x3783c56c35963d83742d1fe3eab546f61d0eb9c7,200
0x816b5cdc3eff41f4c2bb9dd2a4ccd0debd95d2c5,650
0xd43cf02bea3b50a188a2cd7b2a8435a493e7440f,980
0x3d5e9077ef8f9c6b0e10d6c62c1a022a49675cc3,3723
0x04333a1788a47068b9102d2d35695c312a0b312f,900
0x83455fcf356461654854fd376a6ac8922af60a8c,600
0xfac50fd9eb90c1a7c0bc7b739eb90f1bda06e9d0,820
0x44bca7e527efc8ce8a8b2a83596ea66194dd9239,400
0xf5819cc26f0481c9b86294b4c24027518a04bd5b,400
0xb31faa5c1d581c70f4b6ed095c944936cbd2a357,300
0x37ee1fd3150b19d9e072e70e69071013ae620911,8200
